date,label,code
2019-07-20T00:00:00+02:00,"Votre courrier est disponible en point de retrait. Il y sera conservé pendant 15 jours et sera remis au destinataire sur présentation d'une pièce d'identité.",AG1
2019-07-18T00:00:00+02:00,"Votre courrier est arrivé dans le site en vue de sa distribution.",ET1
2019-07-18T00:00:00+02:00,"Votre courrier est arrivé dans le site en vue de sa distribution.",ET1
2019-07-17T00:00:00+02:00,"Votre courrier a été remis à La Poste par l'expéditeur.",PC1
